OrderID,Customer,Product,Category,Price,Quantity,Discount,Revenue,OrderDate,City,PaymentMethod,Rating
ORD1001,Customer_021,Backpack,Accessories,2395.72,3.0,15.0,6109.09,2025-04-13,Mumbai,Debit Card,3
ORD1002,Customer_131,Shoes,Fashion,3551.53,4.0,0.0,14206.12,2025-05-30,Hyderabad,Credit Card,4
ORD1003,Customer_204,Coffee Maker,Home Appliances,3837.55,4.0,0.0,15350.2,2025-11-10,Chennai,Net Banking,4
ORD1004,Customer_220,Desk,Furniture,11248.42,3.0,5.0,32058.0,2025-07-07,Nagpur,Debit Card,4
ORD1005,,Backpack,Accessories,2518.93,1.0,0.0,2518.93,2025-05-15,Hyderabad,UPI,2
ORD1006,Customer_090,Smartwatch,Electronics,7362.29,2.0,5.0,13988.35,2025-02-22,Mumbai,Cash,4
ORD1007,Customer_175,Mixer,Home Appliances,3692.43,4.0,5.0,14031.23,2025-02-04,Chennai,UPI,4
ORD1008,Customer_054,Smartphone,Electronics,29365.19,2.0,5.0,55793.86,2025-04-16,Bengaluru,Net Banking,2
ORD1009,Customer_014,Monitor,Electronics,13788.97,2.0,15.0,23441.25,2025-12-17,Nagpur,Cash,1
ORD1010,Customer_053,Coffee Maker,Home Appliances,3979.92,5.0,5.0,18904.62,2025-10-07,Mumbai,UPI,4
ORD1011,Customer_045,T-Shirt,Fashion,911.53,1.0,5.0,865.95,03/06/2025,Pune,UPI,1
ORD1012,Customer_136,T-Shirt,Fashion,844.24,3.0,0.0,2532.72,2025-06-12,Delhi,UPI,3
ORD1013,Customer_135,Keyboard,Accessories,2030.2,2.0,0.0,4060.4,2025-07-20,Bengaluru,Credit Card,1
ORD1014,Customer_104,Backpack,Accessories,,5.0,10.0,9338.62,02-08-2025,Delhi,Debit Card,1
ORD1015,Customer_218,Headphones,Electronics,2214.7,3.0,15.0,5647.48,2025-09-12,Chennai,Debit Card,1
ORD1016,Customer_179,Mixer,Home Appliances,3423.92,2.0,5.0,6505.45,2025-03-04,Nagpur,UPI,4
ORD1017,Customer_237,Jeans,Fashion,1804.63,5.0,0.0,9023.15,2025-05-23,Delhi,Net Banking,4
ORD1018,Customer_028,Jeans,Fashion,1571.57,3.0,,4243.24,2025-03-07,Mumbai,Net Banking,1
ORD1019,Customer_084,Keyboard,Accessories,2000.59,4.0,,8002.36,2025-10-13,Chennai,Debit Card,2
ORD1020,Customer_027,Backpack,Accessories,2461.42,1.0,5.0,2338.35,2025-05-01,Bengaluru,Net Banking,1
ORD1021,Customer_165,Headphones,Electronics,2130.21,3.0,5.0,6071.1,2025-08-13,Delhi,Credit Card,4
ORD1022,Customer_062,Office Chair,Furniture,9629.42,1.0,5.0,9147.95,2025-02-21,Bengaluru,Credit Card,3
ORD1023,Customer_002,Laptop,Electronics,49193.43,1.0,5.0,46733.76,2025-05-10,Bengaluru,Net Banking,1
ORD1024,Customer_218,Laptop,Electronics,50702.77,2.0,10.0,91264.99,2025-06-09,Chennai,Cash,3
ORD1025,Customer_198,Office Chair,Furniture,7830.98,5.0,10.0,35239.41,2025-08-28,Pune,UPI,4
ORD1026,Customer_187,Shoes,Fashion,2899.06,5.0,15.0,12321.0,2025-12-12,Delhi,Debit Card,4
ORD1027,Customer_039,Backpack,Accessories,1985.08,-1.0,5.0,1885.83,2025-12-04,Pune,Debit Card,4
ORD1028,Customer_144,Desk,Furniture,10608.5,2.0,5.0,20156.15,2025-12-12,Pune,Cash,4
ORD1029,,Laptop,Electronics,50740.56,4.0,10.0,182666.02,2025-01-09,Pune,Debit Card,3
ORD1030,Customer_075,Headphones,Electronics,,1.0,10.0,2490.52,2025-04-23,Bengaluru,Cash,3
ORD1031,Customer_128,Coffee Maker,Home Appliances,4754.57,1.0,0.0,4754.57,2025-12-04,Mumbai,Debit Card,5
ORD1032,Customer_021,Desk,Furniture,10833.33,4.0,0.0,43333.32,2025-10-31,Bengaluru,Debit Card,1
ORD1033,Customer_119,Laptop,Electronics,55701.91,3.0,5.0,158750.44,2025-01-22,Chennai,Net Banking,3
ORD1034,,Mouse,Accessories,1009.65,3.0,15.0,2574.61,2025-04-07,Bengaluru,UPI,5
ORD1035,Customer_192,T-Shirt,Fashion,960.06,3.0,10.0,2592.16,2025-02-18,Pune,Cash,4
ORD1036,Customer_124,Coffee Maker,Home Appliances,4771.95,5.0,15.0,20280.79,2025-08-21,Hyderabad,Net Banking,1
ORD1037,Customer_116,Coffee Maker,Home Appliances,4787.99,3.0,20.0,11491.18,2025-07-10,Hyderabad,Net Banking,1
ORD1038,Customer_054,Headphones,Electronics,2252.12,1.0,5.0,2139.51,2025-02-27,Delhi,Credit Card,2
ORD1039,Customer_104,Mixer,Home Appliances,3519.25,2.0,5.0,6686.58,2025-10-26,Chennai,Net Banking,2
ORD1040,Customer_013,Backpack,Accessories,2147.06,2.0,15.0,3650.0,2025-11-12,Mumbai,UPI,4
ORD1041,Customer_143,Jeans,Fashion,1634.91,4.0,15.0,5558.69,2025-04-02,Mumbai,Credit Card,3
ORD1042,Customer_058,Desk,Furniture,10758.15,5.0,15.0,45722.14,2025-12-08,Pune,Cash,2
ORD1043,Customer_225,Mouse,Accessories,846.88,3.0,0.0,2540.64,2025-09-21,Hyderabad,Cash,4
ORD1044,Customer_224,T-Shirt,Fashion,933.18,4.0,15.0,3172.81,2025-12-16,Nagpur,Debit Card,4
ORD1045,Customer_145,Jeans,Fashion,2053.55,2.0,5.0,3901.75,2025-04-30,Nagpur,Debit Card,4
ORD1046,Customer_062,Monitor,Electronics,12229.52,5.0,0.0,61147.6,2025-10-06,Nagpur,UPI,4
ORD1047,Customer_034,Keyboard,Accessories,1561.42,2.0,0.0,3122.84,2025-04-06,Chennai,UPI,5
ORD1048,Customer_191,Keyboard,Accessories,1874.67,5.0,10.0,8436.02,2025-03-10,Chennai,Net Banking,3
ORD1049,Customer_185,T-Shirt,Fashion,917.83,3.0,15.0,2340.47,2025-10-12,Chennai,Cash,5
ORD1050,Customer_144,Mixer,Home Appliances,,4.0,0.0,12071.08,2025-08-06,Mumbai,Net Banking,4
ORD1051,Customer_010,Laptop,Electronics,54417.12,5.0,5.0,258481.32,2025-09-03,Hyderabad,Cash,2
ORD1052,Customer_096,Smartwatch,Electronics,6255.49,2.0,20.0,10008.78,2025-09-14,Hyderabad,Net Banking,4
ORD1053,Customer_128,Office Chair,Furniture,9631.92,2.0,0.0,19263.84,2025-06-09,Delhi,Cash,4
ORD1054,Customer_179,Smartphone,Electronics,28616.28,1.0,5.0,27185.47,2025-04-11,Bengaluru,Debit Card,1
ORD1055,Customer_141,Laptop,Electronics,57499.5,3.0,0.0,172498.5,2025-01-12,Nagpur,Credit Card,5
ORD1056,Customer_093,Headphones,Electronics,2588.69,1.0,10.0,2329.82,2025-03-31,Chennai,Credit Card,3
ORD1057,Customer_237,Desk,Furniture,11985.73,2.0,10.0,21574.31,2025-03-16,Hyderabad,Cash,1
ORD1058,Customer_201,Keyboard,Accessories,2052.49,4.0,0.0,8209.96,2025-07-11,Delhi,UPI,3
ORD1059,Customer_183,Smartwatch,Electronics,6250.44,5.0,0.0,31252.2,2025-01-13,Nagpur,UPI,3
ORD1060,Customer_112,Desk,Furniture,11559.82,1.0,10.0,10403.84,2025-08-05,Chennai,Net Banking,3
ORD1061,Customer_147,Headphones,Electronics,2416.9,4.0,20.0,7734.08,2025-03-17,Pune,Cash,4
ORD1062,Customer_140,Headphones,Electronics,2494.77,5.0,0.0,12473.85,2025-01-25,Bengaluru,Debit Card,5
ORD1063,Customer_181,Smartwatch,Electronics,7370.08,1.0,0.0,7370.08,2025-02-11,Mumbai,Credit Card,5
ORD1064,Customer_239,Headphones,Electronics,2790.78,3.0,10.0,7535.11,2025-03-17,Pune,Credit Card,2
ORD1065,Customer_137,T-Shirt,Fashion,999.05,5.0,0.0,4995.25,2025-10-10,Mumbai,Credit Card,5
ORD1066,Customer_109,Jeans,Fashion,1575.81,3.0,10.0,4254.69,2025-11-17,Chennai,Cash,1
ORD1067,Customer_070,Mixer,Home Appliances,3928.08,5.0,15.0,16694.34,2025-09-09,Nagpur,Debit Card,5
ORD1068,Customer_019,T-Shirt,Fashion,915.77,3.0,0.0,2747.31,2025-02-08,Chennai,Debit Card,5
ORD1069,Customer_200,Jeans,Fashion,1748.81,2.0,10.0,3147.86,2025-11-13,Nagpur,UPI,1
ORD1070,Customer_113,Headphones,Electronics,2562.53,,5.0,2434.4,2025-11-08,Pune,Net Banking,2
ORD1071,Customer_149,T-Shirt,Fashion,1029.03,5.0,0.0,5145.15,2025-03-21,Chennai,Net Banking,3
ORD1072,Customer_185,T-Shirt,Fashion,784.93,3.0,10.0,2119.31,2025-02-16,Pune,UPI,1
